timestamp,region,dc,device_id,device_role,interface,optical_power_dbm,error_count,asic_temp,utilization_pct
1772056104.5894,eastus,dc1,Leaf-01,Leaf,Eth1/1,-7.9710,0,54.9400,44.1600
1772056104.5894,eastus,dc1,Leaf-02,Leaf,Eth1/1,-7.9918,0,53.9700,41.1600
1772056104.5894,eastus,dc1,Leaf-03,Leaf,Eth1/1,-8.0382,0,55.2300,48.0400
1772056104.5894,eastus,dc1,Leaf-04,Leaf,Eth1/1,-7.9475,0,51.7400,32.4200
1772056104.5894,eastus,dc1,Leaf-05,Leaf,Eth1/1,-8.0594,0,57.6900,43.7300
1772056104.5894,eastus,dc2,Leaf-01,Leaf,Eth1/1,-8.0570,0,54.8800,31.2700
1772056104.5894,eastus,dc2,Leaf-02,Leaf,Eth1/1,-8.0075,0,54.3200,32.5700
1772056104.5894,eastus,dc2,Leaf-03,Leaf,Eth1/1,-8.0249,0,55.0200,32.8800
1772056104.5894,eastus,dc2,Leaf-04,Leaf,Eth1/1,-7.9499,0,53.4600,48.0400
1772056104.5894,eastus,dc2,Leaf-05,Leaf,Eth1/1,-8.0050,0,53.3700,34.2200
1772056104.5894,westus,dc1,Leaf-01,Leaf,Eth1/1,-8.0149,0,55.5100,34.4900
1772056104.5894,westus,dc1,Leaf-02,Leaf,Eth1/1,-7.9314,0,54.5800,30.9500
1772056104.5894,westus,dc1,Leaf-03,Leaf,Eth1/1,-7.9398,0,55.7900,44.8300
1772056104.5894,westus,dc1,Leaf-04,Leaf,Eth1/1,-7.9817,0,55.5100,47.2600
1772056104.5894,westus,dc1,Leaf-05,Leaf,Eth1/1,-8.0452,0,51.1300,42.5400
1772056104.5894,westus,dc2,Leaf-01,Leaf,Eth1/1,-8.0218,0,53.2500,39.8700
1772056104.5894,westus,dc2,Leaf-02,Leaf,Eth1/1,-7.9951,0,53.9600,40.3100
1772056104.5894,westus,dc2,Leaf-03,Leaf,Eth1/1,-7.9408,0,54.1600,39.3300
1772056104.5894,westus,dc2,Leaf-04,Leaf,Eth1/1,-8.0400,0,53.5100,48.0200
1772056104.5894,westus,dc2,Leaf-05,Leaf,Eth1/1,-8.0510,0,56.3000,30.1500
1772056105.5900,eastus,dc1,Leaf-01,Leaf,Eth1/1,-7.9793,0,56.1700,35.5200
1772056105.5900,eastus,dc1,Leaf-02,Leaf,Eth1/1,-8.0036,0,54.9800,36.4900
1772056105.5900,eastus,dc1,Leaf-03,Leaf,Eth1/1,-7.9684,0,55.8400,31.0600
1772056105.5900,eastus,dc1,Leaf-04,Leaf,Eth1/1,-8.0131,0,53.3600,34.6800
1772056105.5900,eastus,dc1,Leaf-05,Leaf,Eth1/1,-7.9402,0,55.2800,32.6400
1772056105.5900,eastus,dc2,Leaf-01,Leaf,Eth1/1,-7.9373,0,55.1300,30.6300
1772056105.5900,eastus,dc2,Leaf-02,Leaf,Eth1/1,-7.9730,0,54.3000,44.0900
1772056105.5900,eastus,dc2,Leaf-03,Leaf,Eth1/1,-8.0091,0,54.1900,43.0900
1772056105.5900,eastus,dc2,Leaf-04,Leaf,Eth1/1,-8.0877,0,52.2700,33.3300
